,og_index,SRC_AIRPT_ID,SRCNAME,DESTIN_AIRPT_ID,DESTINNAME,seconds,meters,SRCIATA,DESTINIATA
55,487,5773,Tupelo Regional Airport,6130,Mid Delta Regional Airport,15335,469405,TUP,GLH
56,970,3877,McCarran International Airport,3484,Los Angeles International Airport,11331,283037,LAS,LAX
57,971,3484,Los Angeles International Airport,3877,McCarran International Airport,15343,453529,LAX,LAS
58,974,5965,McGrath Airport,7214,Nikolai Airport,15586,457234,MCG,NIB
59,1081,3877,McCarran International Airport,1825,General Mariano Escobedo International Airport,147119,4139322,LAS,MTY
60,1082,3877,McCarran International Airport,1850,Licenciado Adolfo Lopez Mateos International Airport,80221,2335611,LAS,TLC
61,1123,3576,Miami International Airport,1824,Licenciado Benito Juarez International Airport,111846,2886242,MIA,MEX
62,1137,3621,San Antonio International Airport,1804,Don Miguel Hidalgo Y Costilla International Airport,120884,3405058,SAT,GDL
63,1138,3621,San Antonio International Airport,1824,Licenciado Benito Juarez International Airport,50671,1289882,SAT,MEX
64,1139,3621,San Antonio International Airport,1825,General Mariano Escobedo International Airport,54989,1387361,SAT,MTY
65,1140,3621,San Antonio International Airport,1850,Licenciado Adolfo Lopez Mateos International Airport,18421,487877,SAT,TLC
66,1145,3867,John Wayne Airport-Orange County Airport,1804,Don Miguel Hidalgo Y Costilla International Airport,55536,1379811,SNA,GDL
67,1146,3867,John Wayne Airport-Orange County Airport,1824,Licenciado Benito Juarez International Airport,95976,2524601,SNA,MEX
68,1662,6712,Anaktuvuk Pass Airport,3832,Fairbanks International Airport,114666,2933372,AKP,FAI
69,1668,3832,Fairbanks International Airport,7116,Central Airport,27341,397528,FAI,CEM
70,1672,3832,Fairbanks International Airport,7115,Beaver Airport,14049,260442,FAI,WBQ
71,1675,7236,Circle City /New/ Airport,3832,Fairbanks International Airport,1,1,IRC,FAI
72,1689,7096,Kwigillingok Airport,3599,Bethel Airport,3632,20508,KWK,BET
73,2459,7220,Wainwright Airport,3571,Wiley Post Will Rogers Memorial Airport,59979,659450,AIN,BRW
74,2462,3774,Ted Stevens Anchorage International Airport,3599,Bethel Airport,59876,658304,ANC,BET
75,2466,3774,Ted Stevens Anchorage International Airport,3664,Homer Airport,10293,252041,ANC,HOM
76,2467,3774,Ted Stevens Anchorage International Airport,6718,St Mary's Airport,22894,582106,ANC,KSM
77,2468,3774,Ted Stevens Anchorage International Airport,7088,Unalakleet Airport,14751,358691,ANC,UNK
78,2471,5967,Aniak Airport,7091,Chuathbaluk Airport,19588,485931,ANI,CHU
79,2514,3832,Fairbanks International Airport,3420,Fort Yukon Airport,10439,253090,FAI,FYU
80,2515,3832,Fairbanks International Airport,3764,Edward G. Pitka Sr Airport,22750,582465,FAI,GAL
81,2519,3420,Fort Yukon Airport,3832,Fairbanks International Airport,38600,804966,FYU,FAI
82,2533,6716,Hooper Bay Airport,5968,Chevak Airport,14864,359585,HPB,VAK
83,2535,7108,Huslia Airport,7208,Koyukuk Airport,2,2,HSL,KYU
84,2547,5964,Kalskag Airport,7098,Russian Mission Airport,3632,20508,KLG,RSH
85,2562,7206,Quinhagak Airport,6767,Togiak Airport,3634,20508,KWN,TOG
86,2585,3615,Nome Airport,7188,White Mountain Airport,9280,109189,OME,WMO
87,2607,7117,Shungnak Airport,7180,Kobuk Airport,37800,804658,SHG,OBU
88,2622,7088,Unalakleet Airport,7192,Shaktoolik Airport,9253,109189,UNK,SKK
89,2629,7182,Selawik Airport,3693,Ralph Wien Memorial Airport,19442,485399,WLK,OTZ
90,2804,5967,Aniak Airport,5962,Holy Cross Airport,3,3,ANI,HCR
91,2857,7181,Robert (Bob) Curtis Memorial Airport,7179,Bob Baker Memorial Airport,9280,109189,ORV,IAN
92,3196,3832,Fairbanks International Airport,3420,Fort Yukon Airport,27146,397220,FAI,FYU
93,3199,3420,Fort Yukon Airport,3832,Fairbanks International Airport,27341,397528,FYU,FAI
94,3209,6722,Ruby Airport,3832,Fairbanks International Airport,203202,5288778,RBY,FAI
95,3211,7114,Venetie Airport,3420,Fort Yukon Airport,4,4,VEE,FYU
96,3373,3682,Hartsfield Jackson Atlanta International Airport,4018,Evansville Regional Airport,40946,1233703,ATL,EVV
97,3374,3682,Hartsfield Jackson Atlanta International Airport,4041,Fort Wayne International Airport,6913,200621,ATL,FWA
98,3375,3682,Hartsfield Jackson Atlanta International Airport,4008,Piedmont Triad International Airport,45315,1357300,ATL,GSO
99,3376,3682,Hartsfield Jackson Atlanta International Airport,4034,Greenville Spartanburg International Airport,28398,824263,ATL,GSP
100,3377,3682,Hartsfield Jackson Atlanta International Airport,3544,Capital City Airport,24589,752597,ATL,LAN
101,3378,3682,Hartsfield Jackson Atlanta International Airport,4017,Blue Grass Airport,22545,665372,ATL,LEX
102,3379,3682,Hartsfield Jackson Atlanta International Airport,4128,MBS International Airport,34863,1059003,ATL,MBS
103,3380,3682,Hartsfield Jackson Atlanta International Airport,3858,Minneapolis-St Paul International/Wold-Chamberlain Airport,18760,561341,ATL,MSP
104,3381,3682,Hartsfield Jackson Atlanta International Airport,4016,Roanoke–Blacksburg Regional Airport,9017,265246,ATL,ROA
105,3382,3682,Hartsfield Jackson Atlanta International Airport,3745,Syracuse Hancock International Airport,22191,673335,ATL,SYR
106,3383,3682,Hartsfield Jackson Atlanta International Airport,3676,McGhee Tyson Airport,21395,642936,ATL,TYS
107,3384,3682,Hartsfield Jackson Atlanta International Airport,4356,Northwest Arkansas Regional Airport,43174,1323058,ATL,XNA
108,3385,4039,Kalamazoo Battle Creek International Airport,3682,Hartsfield Jackson Atlanta International Airport,59755,1756692,AZO,ATL
109,3386,3578,Lovell Field,3682,Hartsfield Jackson Atlanta International Airport,24032,709444,CHA,ATL
110,3387,4285,Yeager Airport,3682,Hartsfield Jackson Atlanta International Airport,52703,1574621,CRW,ATL
111,3388,3488,Cincinnati Northern Kentucky International Airport,3682,Hartsfield Jackson Atlanta International Airport,11997,361356,CVG,ATL
112,3389,3645,Detroit Metropolitan Wayne County Airport,3861,Louis Armstrong New Orleans International Airport,38379,1171604,DTW,MSY
113,3390,4018,Evansville Regional Airport,3682,Hartsfield Jackson Atlanta International Airport,41034,1230776,EVV,ATL
114,3391,4041,Fort Wayne International Airport,3682,Hartsfield Jackson Atlanta International Airport,6752,197288,FWA,ATL
115,3392,3442,Grand Forks International Airport,7018,Thief River Falls Regional Airport,28207,819495,GFK,TVF
116,3393,4008,Piedmont Triad International Airport,3682,Hartsfield Jackson Atlanta International Airport,24540,748755,GSO,ATL
117,3394,4034,Greenville Spartanburg International Airport,3682,Hartsfield Jackson Atlanta International Airport,55354,1712058,GSP,ATL
118,3395,3797,John F Kennedy International Airport,3861,Louis Armstrong New Orleans International Airport,22573,661333,JFK,MSY
119,3396,3544,Capital City Airport,3682,Hartsfield Jackson Atlanta International Airport,35147,1057188,LAN,ATL
120,3397,4017,Blue Grass Airport,3682,Hartsfield Jackson Atlanta International Airport,3909,90543,LEX,ATL
121,3398,3697,La Guardia Airport,3861,Louis Armstrong New Orleans International Airport,18761,557059,LGA,MSY
122,3399,4128,MBS International Airport,3682,Hartsfield Jackson Atlanta International Airport,8938,262646,MBS,ATL
123,3400,3542,Harrisburg International Airport,3682,Hartsfield Jackson Atlanta International Airport,70712,2143359,MDT,ATL
124,3401,3473,Memphis International Airport,3861,Louis Armstrong New Orleans International Airport,22164,670769,MEM,MSY
125,3402,3858,Minneapolis-St Paul International/Wold-Chamberlain Airport,3682,Hartsfield Jackson Atlanta International Airport,21265,635019,MSP,ATL
126,3403,3858,Minneapolis-St Paul International/Wold-Chamberlain Airport,3861,Louis Armstrong New Orleans International Airport,70746,2141443,MSP,MSY
127,3404,3861,Louis Armstrong New Orleans International Airport,3645,Detroit Metropolitan Wayne County Airport,43233,1319428,MSY,DTW
128,3405,3861,Louis Armstrong New Orleans International Airport,3797,John F Kennedy International Airport,39659,1178371,MSY,JFK
129,3406,3861,Louis Armstrong New Orleans International Airport,3697,La Guardia Airport,19588,604479,MSY,LGA
130,3407,3861,Louis Armstrong New Orleans International Airport,3473,Memphis International Airport,59361,1830430,MSY,MEM
131,3408,3861,Louis Armstrong New Orleans International Airport,3858,Minneapolis-St Paul International/Wold-Chamberlain Airport,63258,1894346,MSY,MSP
132,3409,4016,Roanoke–Blacksburg Regional Airport,3682,Hartsfield Jackson Atlanta International Airport,54880,1705708,ROA,ATL
133,3410,3745,Syracuse Hancock International Airport,3682,Hartsfield Jackson Atlanta International Airport,70516,2143844,SYR,ATL
134,3411,7018,Thief River Falls Regional Airport,3442,Grand Forks International Airport,70714,2142904,TVF,GFK
135,3412,3676,McGhee Tyson Airport,3682,Hartsfield Jackson Atlanta International Airport,19298,602717,TYS,ATL
136,3413,4356,Northwest Arkansas Regional Airport,3682,Hartsfield Jackson Atlanta International Airport,63202,1894674,XNA,ATL
137,3414,3517,Nantucket Memorial Airport,3448,General Edward Lawrence Logan International Airport,23968,706436,ACK,BOS
138,3415,3517,Nantucket Memorial Airport,5737,New Bedford Regional Airport,52842,1574071,ACK,EWB
139,3416,3517,Nantucket Memorial Airport,4278,Barnstable Municipal Boardman Polando Field,3911,90788,ACK,HYA
140,3417,3517,Nantucket Memorial Airport,4265,Martha's Vineyard Airport,12036,359747,ACK,MVY
141,3418,3864,Albany International Airport,3448,General Edward Lawrence Logan International Airport,38286,1170300,ALB,BOS
142,3419,3864,Albany International Airport,3546,Massena International Richards Field,13259,166862,ALB,MSS
143,3420,3864,Albany International Airport,3724,Ogdensburg International Airport,12067,131388,ALB,OGS
144,3421,3701,Augusta State Airport,3448,General Edward Lawrence Logan International Airport,8755,52171,AUG,BOS
145,3423,4025,Hancock County-Bar Harbor Airport,3448,General Edward Lawrence Logan International Airport,9490,62491,BHB,BOS
146,3424,4021,Billings Logan International Airport,7070,Dawson Community Airport,10242,290467,BIL,GDV
147,3425,4021,Billings Logan International Airport,5739,Wokal Field Glasgow International Airport,13755,339126,BIL,GGW
148,3426,4021,Billings Logan International Airport,3604,Havre City County Airport,14055,353523,BIL,HVR
149,3427,4021,Billings Logan International Airport,7071,L M Clayton Airport,9183,255652,BIL,OLF
150,3428,4021,Billings Logan International Airport,7065,Sidney - Richland Regional Airport,15597,430181,BIL,SDY
151,3429,3448,General Edward Lawrence Logan International Airport,3517,Nantucket Memorial Airport,11654,360332,BOS,ACK
152,3430,3448,General Edward Lawrence Logan International Airport,3864,Albany International Airport,15585,445400,BOS,ALB
153,3431,3448,General Edward Lawrence Logan International Airport,3701,Augusta State Airport,14476,406361,BOS,AUG
154,3432,3448,General Edward Lawrence Logan International Airport,4025,Hancock County-Bar Harbor Airport,15361,468994,BOS,BHB
155,3433,3448,General Edward Lawrence Logan International Airport,4278,Barnstable Municipal Boardman Polando Field,14323,437741,BOS,HYA
156,3434,3448,General Edward Lawrence Logan International Airport,5749,Lebanon Municipal Airport,13418,170007,BOS,LEB
157,3435,3448,General Edward Lawrence Logan International Airport,4265,Martha's Vineyard Airport,10197,290067,BOS,MVY
158,3436,3448,General Edward Lawrence Logan International Airport,6456,Provincetown Municipal Airport,9318,257162,BOS,PVC
159,3437,3448,General Edward Lawrence Logan International Airport,4026,Knox County Regional Airport,15615,430775,BOS,RKD
160,3438,3448,General Edward Lawrence Logan International Airport,5767,Rutland - Southern Vermont Regional Airport,4715,117612,BOS,RUT
161,3439,3448,General Edward Lawrence Logan International Airport,5770,Adirondack Regional Airport,7303,207651,BOS,SLK
162,3440,5728,Cape Girardeau Regional Airport,3678,St Louis Lambert International Airport,9050,147681,CGI,STL
163,3444,5737,New Bedford Regional Airport,3517,Nantucket Memorial Airport,7985,194017,EWB,ACK
164,3445,5737,New Bedford Regional Airport,3589,Westchester County Airport,12112,299320,EWB,HPN
165,3446,5737,New Bedford Regional Airport,4265,Martha's Vineyard Airport,11115,257685,EWB,MVY
166,3447,7070,Dawson Community Airport,4021,Billings Logan International Airport,18871,443763,GDV,BIL
167,3448,5739,Wokal Field Glasgow International Airport,4021,Billings Logan International Airport,6974,209967,GGW,BIL
168,3449,3589,Westchester County Airport,4278,Barnstable Municipal Boardman Polando Field,11957,130528,HPN,HYA
169,3450,3589,Westchester County Airport,5749,Lebanon Municipal Airport,10509,288786,HPN,LEB
170,3451,3589,Westchester County Airport,4265,Martha's Vineyard Airport,6906,96625,HPN,MVY
171,3452,3604,Havre City County Airport,4021,Billings Logan International Airport,11646,360419,HVR,BIL
172,3453,4278,Barnstable Municipal Boardman Polando Field,3517,Nantucket Memorial Airport,15516,445387,HYA,ACK
173,3454,4278,Barnstable Municipal Boardman Polando Field,3448,General Edward Lawrence Logan International Airport,13258,359711,HYA,BOS
174,3455,5744,Kirksville Regional Airport,3678,St Louis Lambert International Airport,13118,370790,IRK,STL
175,3456,5749,Lebanon Municipal Airport,3448,General Edward Lawrence Logan International Airport,16911,378204,LEB,BOS
176,3457,5749,Lebanon Municipal Airport,3589,Westchester County Airport,14421,406346,LEB,HPN
177,3459,3546,Massena International Richards Field,3864,Albany International Airport,8703,52395,MSS,ALB
178,3460,4265,Martha's Vineyard Airport,3517,Nantucket Memorial Airport,4536,114967,MVY,ACK
179,3461,4265,Martha's Vineyard Airport,3448,General Edward Lawrence Logan International Airport,10442,303157,MVY,BOS
180,3462,4265,Martha's Vineyard Airport,5737,New Bedford Regional Airport,7028,204811,MVY,EWB
