,og_index,SRC_AIRPT_ID,SRCNAME,DESTIN_AIRPT_ID,DESTINNAME,seconds,meters
76,1037,3576,Miami International Airport,3988,Ministro Pistarini International Airport,\N,\N
77,1038,3576,Miami International Airport,1760,Punta Cana International Airport,\N,\N
78,1079,3797,John F Kennedy International Airport,1824,Licenciado Benito Juarez International Airport,147119,4139322
79,1081,3877,McCarran International Airport,1825,General Mariano Escobedo International Airport,80221,2335611
80,1082,3877,McCarran International Airport,1850,Licenciado Adolfo Lopez Mateos International Airport,111846,2886242
81,1123,3576,Miami International Airport,1824,Licenciado Benito Juarez International Airport,120884,3405058
82,1137,3621,San Antonio International Airport,1804,Don Miguel Hidalgo Y Costilla International Airport,50671,1289882
83,1138,3621,San Antonio International Airport,1824,Licenciado Benito Juarez International Airport,54989,1387361
84,1139,3621,San Antonio International Airport,1825,General Mariano Escobedo International Airport,18421,487877
85,1140,3621,San Antonio International Airport,1850,Licenciado Adolfo Lopez Mateos International Airport,55536,1379811
86,1145,3867,John Wayne Airport-Orange County Airport,1804,Don Miguel Hidalgo Y Costilla International Airport,95976,2524601
87,1146,3867,John Wayne Airport-Orange County Airport,1824,Licenciado Benito Juarez International Airport,114666,2933372
88,1662,6712,Anaktuvuk Pass Airport,3832,Fairbanks International Airport,\N,\N
89,1663,3417,Bettles Airport,6712,Anaktuvuk Pass Airport,\N,\N
90,1664,7116,Central Airport,7236,Circle City /New/ Airport,\N,\N
91,1665,7105,Chalkyitsik Airport,3832,Fairbanks International Airport,\N,\N
92,1666,7105,Chalkyitsik Airport,3420,Fort Yukon Airport,\N,\N
93,1667,3832,Fairbanks International Airport,3417,Bettles Airport,27341,397528
94,1668,3832,Fairbanks International Airport,7116,Central Airport,\N,\N
95,1669,3832,Fairbanks International Airport,7105,Chalkyitsik Airport,\N,\N
96,1670,3832,Fairbanks International Airport,3420,Fort Yukon Airport,\N,\N
97,1671,3832,Fairbanks International Airport,7246,Manley Hot Springs Airport,14049,260442
98,1672,3832,Fairbanks International Airport,7115,Beaver Airport,\N,\N
99,1673,3420,Fort Yukon Airport,7105,Chalkyitsik Airport,\N,\N
100,1674,3420,Fort Yukon Airport,3832,Fairbanks International Airport,\N,\N
101,1675,7236,Circle City /New/ Airport,3832,Fairbanks International Airport,\N,\N
102,1676,7115,Beaver Airport,3832,Fairbanks International Airport,\N,\N
103,1677,3599,Bethel Airport,7093,Eek Airport,\N,\N
104,1678,3599,Bethel Airport,7201,Kipnuk Airport,\N,\N
105,1679,3599,Bethel Airport,7206,Quinhagak Airport,\N,\N
106,1680,3599,Bethel Airport,7095,Kwethluk Airport,\N,\N
107,1681,3599,Bethel Airport,7097,Marshall Don Hunter Sr Airport,\N,\N
108,1682,3599,Bethel Airport,8199,Nightmute Airport,\N,\N
109,1683,3599,Bethel Airport,9739,Napakiak Airport,\N,\N
110,1684,6960,Chefornak Airport,3599,Bethel Airport,\N,\N
111,1685,7093,Eek Airport,3599,Bethel Airport,\N,\N
112,1686,7093,Eek Airport,7206,Quinhagak Airport,\N,\N
113,1687,7213,Kongiganak Airport,7096,Kwigillingok Airport,3632,20508
114,1688,7201,Kipnuk Airport,6960,Chefornak Airport,\N,\N
115,1689,7096,Kwigillingok Airport,3599,Bethel Airport,\N,\N
116,1690,7206,Quinhagak Airport,3599,Bethel Airport,\N,\N
117,1691,7206,Quinhagak Airport,7093,Eek Airport,\N,\N
118,1692,8199,Nightmute Airport,8200,Toksook Bay Airport,\N,\N
119,1693,9744,Napaskiak Airport,3599,Bethel Airport,\N,\N
120,1694,3430,Platinum Airport,3599,Bethel Airport,\N,\N
121,1695,9739,Napakiak Airport,9744,Napaskiak Airport,\N,\N
122,2455,7177,Ambler Airport,3693,Ralph Wien Memorial Airport,\N,\N
123,2456,7177,Ambler Airport,7117,Shungnak Airport,\N,\N
124,2457,3531,Kodiak Airport,3774,Ted Stevens Anchorage International Airport,59979,659450
125,2458,7220,Wainwright Airport,6714,Atqasuk Edward Burnell Sr Memorial Airport,\N,\N
126,2459,7220,Wainwright Airport,3571,Wiley Post Will Rogers Memorial Airport,\N,\N
127,2460,3774,Ted Stevens Anchorage International Airport,3531,Kodiak Airport,59876,658304
128,2461,3774,Ted Stevens Anchorage International Airport,5967,Aniak Airport,\N,\N
129,2462,3774,Ted Stevens Anchorage International Airport,3599,Bethel Airport,\N,\N
130,2463,3774,Ted Stevens Anchorage International Airport,3610,Merle K (Mudhole) Smith Airport,\N,\N
131,2464,3774,Ted Stevens Anchorage International Airport,3628,Kenai Municipal Airport,10293,252041
132,2465,3774,Ted Stevens Anchorage International Airport,3832,Fairbanks International Airport,22894,582106
133,2466,3774,Ted Stevens Anchorage International Airport,3664,Homer Airport,14751,358691
134,2467,3774,Ted Stevens Anchorage International Airport,6718,St Mary's Airport,\N,\N
135,2468,3774,Ted Stevens Anchorage International Airport,7088,Unalakleet Airport,\N,\N
136,2469,3774,Ted Stevens Anchorage International Airport,3865,Valdez Pioneer Field,19588,485931
137,2470,5967,Aniak Airport,3774,Ted Stevens Anchorage International Airport,\N,\N
138,2471,5967,Aniak Airport,7091,Chuathbaluk Airport,\N,\N
139,2472,5967,Aniak Airport,5962,Holy Cross Airport,\N,\N
140,2473,5967,Aniak Airport,5964,Kalskag Airport,\N,\N
141,2474,5967,Aniak Airport,7098,Russian Mission Airport,\N,\N
142,2475,5967,Aniak Airport,7090,Shageluk Airport,\N,\N
