0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
52810,64768,67819,66605,\N,140543,67001,\N,\N,\N,\N,76017,\N,\N,\N,75572,40494,47086,\N,158355,243465,\N,69217,98494,87461,68187,59726,65834,69111,62888,26336,\N,15105,138826,\N,60848,49617,\N,107222,\N,93675,\N,\N,\N,12846,\N,19875,23290,148177,41451,35381,\N,206686,94725,\N,66889,\N,87701,14973,49864,\N,\N,134242,148913,148571,260957,\N,\N,58428,70712,\N,\N,154515,45707,\N,64535,153477,129588,\N,\N,\N,\N,\N,17740,28507,20796,67813,148324,43821,\N,151740,154982,156058,\N,116391,150116,64176,\N,\N,16091
61589,\N,141984,133884,15001,156967,\N,140722,148867,67046,58585,64693,67970,64333,61747,72838,156282,138477,148182,14900,21193,54671,62997,21959,36003,22650,58286,64452,\N,69084,\N,63597,169368,44057,56015,59067,57853,58248,\N,\N,67265,\N,66820,38333,\N,233383,\N,60464,64916,81549,70516,154016,21228,53899,45799,\N,76215,67754,70585,75217,62148,65200,63986,64382,\N,161550,153450,54971,18191,138658,128822,33534,75947,67485,17675,39213,40371,27983,31534,47161,38700,20697,78637,65569,68620,67406,67802,157743,147908,54664,43433,159853,\N,151753,63199,92946,162621,\N,158477,154521
22166,163530,155429,116085,36062,149414,22782,63767,64162,69211,60750,16011,65161,67830,72461,47435,59393,62444,61231,61626,\N,42009,\N,33681,39737,\N,\N,\N,\N,\N,41979,\N,\N,\N,\N,69674,66192,26916,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,33550,\N,\N,\N,\N,\N,120884,44468,\N,\N,26806,44609,48305,39695,\N,\N,\N,\N,\N,\N,\N,48342,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
\N,\N,\N,41013,\N,\N,\N,\N,40856,120633,61066,\N,\N,\N,\N,\N,\N,\N,\N,42009,114411,129094,\N,\N,40856,\N,114660,183067,98586,\N,98135,129236,\N,322567,309398,297337,225475,100457,311528,285027,289630,274210,285293,283019,123292,274934,39737,\N,\N,159103,\N,26806,39695,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,43481,29170,72287,66114,34862,17628,10076,31857,8355,55166,30614,64960,193855,149821,179079,\N,\N,43384,72589,10019,31888,8214,54883,\N,49131,\N,48843,12010,44767,40946,\N,54733,7953,93261,35891,13809
\N,\N,59365,15416,\N,\N,26948,64747,47655,36525,155468,11304,37199,\N,\N,6913,29281,16748,45315,37136,13535,30632,73479,28398,4945,159925,24589,163646,22121,41684,28216,34339,72664,42009,11353,49424,37636,\N,\N,\N,16944,73100,22545,26872,46297,44555,\N,71878,19587,\N,32473,40271,\N,\N,61794,35597,34863,\N,99776,\N,\N,17262,19932,49761,\N,42987,\N,18760,9017,15252,158204,\N,40940,49348,12614,35082,41013,\N,50010,22437,29211,19814,17998,48134,\N,\N,22191,101450,114411,21395,29818,48530,\N,\N,214196,27792,\N,\N,\N,\N
43174,44017,22492,39443,39130,20193,100358,201976,8365,60876,33681,43217,\N,42080,26168,17106,46130,59755,23941,67152,\N,20485,\N,\N,24688,44755,52775,39737,32173,\N,30052,136019,31796,41896,94955,37686,38351,\N,17078,264767,\N,57101,112110,64259,21685,28732,24032,50840,29391,\N,169934,110344,169625,50983,12426,37150,\N,22750,\N,139381,129094,37887,31840,127376,159079,223940,\N,98933,129482,113284,25754,30610,\N,\N,\N,52703,182187,15251,23167,17126,41045,89408,11997,\N,\N,11713,17075,38379,66155,50424,\N,49014,24517,15058,48600,71838,93324,58145,34576,59964
73436,11876,34290,44788,26913,41034,6246,29257,55175,43272,36220,64997,70380,35076,28014,50661,24093,8046,37387,52682,30364,56101,43478,30689,23039,13603,35627,19398,24329,13843,14510,27557,47930,105345,48129,36023,46381,85558,75944,17098,\N,59974,\N,\N,52820,41352,217725,47895,39826,\N,51178,61232,12981,142503,157175,12490,\N,69796,74171,49561,\N,\N,39875,31889,124653,15360,11372,8339,21291,26645,65003,37306,19410,47964,16317,23323,22554,50537,35709,36758,29021,27679,11880,59250,16658,109732,51047,22990,11448,40048,39690,37512,10359,12661,6752,31323,29336,20886,16843,52152
44974,40921,41316,45226,25852,14998,16887,37369,8091,27301,26532,39662,13676,27306,34827,35012,35407,63233,108769,30875,41089,10818,31291,118258,31475,51830,40891,26555,59954,53730,12286,24721,73172,31540,22202,28207,19972,4732,24540,43033,14546,47424,28690,\N,27047,175760,29054,61193,49809,13907,35317,56701,20033,55651,42226,37349,101017,114506,37533,32547,46720,25317,20794,24079,37565,41868,17314,32277,16250,\N,29047,29654,53619,124408,85817,19313,47395,36975,26695,27769,10458,22132,41681,28241,10039,34946,37041,34507,29363,28022,14063,139928,29830,14458,46353,46107,59593,62264,110074,72740
61095,63669,94315,93546,55373,45753,27963,\N,41979,49806,61526,\N,84105,84303,25356,69674,49696,67764,99548,11267,28006,8989,49586,31275,61152,13400,29393,30444,\N,\N,38025,24631,72507,34748,27195,6428,36254,28343,50653,37781,19664,28032,39638,37496,16314,27842,40315,10492,\N,31858,45361,26076,16930,8141,35106,11100,20575,189059,14322,27849,10347,28205,64107,62049,31327,24515,14028,23422,23204,32384,70186,\N,8882,\N,25260,7732,\N,33483,38129,34238,33884,27777,68950,\N,15640,24784,53818,34513,18743,103625,118296,18172,33744,\N,45572,\N,6835,39610,60205,25668
14601,38802,129492,41149,71394,18716,21670,24209,21973,35458,55354,94213,45486,\N,\N,\N,54017,37964,15255,37808,67766,122860,\N,31076,103934,21536,14168,14549,\N,39876,\N,44532,37106,33662,30833,19325,67105,120620,76143,47775,10452,21357,19137,121288,124365,\N,85774,28182,32810,23287,60881,47871,13887,27386,45859,28481,31471,13422,16744,11386,24160,73138,13896,23279,44914,22573,22835,27022,\N,46692,\N,35415,32086,\N,63657,114139,44531,79082,71701,13418,59536,108615,42329,19646,64456,33764,32548,56771,69818,66605,67001,91938,40494,77502,40421,35675,62008,13165,35544,35147
8639,32398,19328,29089,68395,71972,37550,17375,15656,16973,19825,49723,25226,14955,\N,43066,20046,7638,40516,65246,31288,18761,33136,31307,8938,37651,39680,52272,28826,15151,11121,55538,24539,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,40802,49904,34056,59726,12785,33573,\N,35469,\N,27856,\N,15105,\N,132928,59427,\N,\N,40856,\N,55759,68572,87714,31310,61066,61750,123304,80084,49995,32650,10863,22478,33477,18542,5980,29227,51004,173647,15285,41169,107979,41353,\N,51407,24803,31580,34721,58306,79697,52083,11342,16577,34573,26919,17053,19982,17917
60848,42140,53716,49617,50013,77306,\N,\N,48606,\N,93675,\N,\N,48267,\N,12846,\N,23290,12165,\N,41451,27333,35381,31337,206686,37754,14440,94725,84276,\N,34339,\N,\N,66889,\N,\N,\N,204965,14973,\N,41294,49864,134242,148913,\N,260957,\N,\N,58428,147119,68132,65910,70712,\N,\N,\N,\N,45707,23182,\N,153477,7123,129588,23508,\N,\N,\N,28507,20521,20796,148324,97311,43821,42569,\N,151740,154982,270702,\N,116391,\N,53836,\N,\N,\N,16091,\N,61589,\N,22359,132066,28892,\N,22164,18385,39891,101439,141984,100728,103237
\N,133884,15343,\N,\N,120700,81485,111753,85321,80221,120325,61733,21705,69096,67451,116205,\N,114660,102373,105524,\N,156967,180331,\N,\N,118323,184788,114607,140219,118221,\N,97667,68336,183067,\N,\N,\N,\N,108116,148867,\N,15586,\N,\N,239059,84998,130741,\N,94705,116356,141930,100305,98586,\N,20568,\N,54046,21352,\N,\N,96452,133546,7019,62372,21335,19616,248804,36689,22025,\N,\N,131417,\N,90583,82435,21265,29688,17879,40239,41217,29620,48764,\N,24253,52601,48301,12432,19132,22304,39873,20762,41609,26347,35538,31162,37579,34805,14598,93739,84311
60959,33353,79317,67046,40345,31412,39944,87809,33823,41119,50021,40214,66894,58585,59818,13943,68289,48182,51438,64924,70746,38350,67595,44721,23340,64693,23333,17326,28664,20678,19810,67970,43978,42394,64333,53661,15105,61747,40286,46879,21292,27906,36003,\N,27778,45085,22319,8098,35486,43233,6735,38180,44127,32481,39359,84842,67104,66307,27604,22756,55223,22467,58286,64452,30229,35909,69084,51605,169368,46690,59737,\N,65088,59067,51312,57853,120629,130462,58248,\N,\N,66118,42469,109800,65318,81856,74876,40423,52489,31742,38333,60426,44851,\N,121034,68750,39659,25606,39255,14581
22309,20347,34954,25491,46554,55514,25555,38538,31398,24870,81678,94638,59988,27693,42665,44634,19588,29736,40880,39881,38590,82609,41001,8272,61236,41087,13752,33550,\N,70820,\N,67695,141545,68091,\N,120884,\N,92940,\N,\N,\N,43274,20793,18776,48553,65454,17956,\N,42084,21456,19110,26255,17031,27927,24077,45961,23899,46197,21882,51735,14145,71817,61066,26644,66436,17749,64810,\N,195092,\N,59361,15274,60110,29199,70411,55709,43674,23245,13784,24400,45959,76288,74004,8358,50507,59232,51251,\N,15024,39532,62835,40560,177755,37298,10551,36933,59596,45999,49841,28229
9168,13208,35281,63775,13435,64975,91522,35487,13126,32375,72100,17463,15046,31239,52721,11362,55966,59168,61693,32689,18657,31280,16807,34746,77048,65904,39819,85516,100187,41024,65135,\N,22292,8200,38209,22775,81541,22160,44474,92730,17915,19201,27940,14066,61423,63258,\N,40584,19855,20405,69199,90524,62466,88801,23817,45559,54979,99326,30017,64836,12943,65053,53691,4874,88440,102512,63746,26761,37539,87002,103619,104695,65028,98753,99061,29294,57654,82216,35906,88411,36281,50645,33854,70114,42337,66298,94366,26013,51558,67329,48249,23875,41833,54880,70516,98135,70714,19298,63202,94200
20835,49146,45277,38311,24873,20307,38263,\N,\N,44673,53431,40465,61755,53004,62219,37880,67757,75185,19964,49089,94277,33267,\N,39695,\N,17215,15198,\N,114489,\N,45799,45029,\N,29557,118807,20577,72346,113770,86734,32464,37557,23010,23406,40813,69128,29958,67228,64382,\N,136173,122804,153450,54050,90544,\N,40254,32075,42256,\N,32663,31095,6960,62666,22157,113147,94436,102939,\N,128822,21342,88263,36873,37848,21525,23886,8766,38334,\N,16467,13980,23294,23478,52549,40947,45550,\N,14423,16854,54954,99600,98883,26634,35267,57664,41862,29565,36237,36511,21655,34582
39213,16374,26287,181470,29114,36634,40371,34658,27983,120188,133149,28378,31910,39573,65041,21744,112548,35072,5936,12787,29018,31534,30029,33568,20303,20699,38700,65139,18907,10613,25890,23968,30259,51199,19427,20697,19927,53772,4792,29367,59633,53590,66637,58212,67802,88756,110735,120532,147908,7099,102617,68680,39000,50850,75696,97183,60396,38434,54989,63822,18421,72032,12633,47533,43433,43829,37371,10404,26815,20883,22699,18770,42212,42396,44879,37684,\N,149688,139266,\N,121130,\N,\N,123292,\N,151753,61940,62279,\N,86927,\N,\N,\N,68607,44892,44691,9096,\N,129236,\N
123921,123875,\N,\N,154521,21245,\N,135451,103014,26739,\N,44807,38768,\N,37826,15807,31703,127391,19400,103922,39676,35026,180162,98808,73434,30766,85406,17178,124185,21397,35668,109414,23053,12852,\N,108709,12413,24774,31789,22233,186350,85485,109777,27965,67629,85439,11640,44890,113956,59368,42190,33901,28959,110326,37554,15853,29062,24652,\N,79876,10971,79350,17239,116085,21733,36404,36062,35398,54974,120988,82285,41052,71733,26876,64578,94241,38425,61716,48864,33534,72300,40008,112648,36448,8953,99678,35543,111625,36134,36416,112441,10783,26006,38728,72221,44602,38892,15903,39968,105274
34026,35277,68313,62298,42568,12137,10889,51965,46430,129638,117377,21861,97907,40601,33661,113552,99197,35581,72753,25727,64162,30896,19417,27973,53856,54040,29342,68569,32462,52842,23257,16011,15242,57603,15124,23191,53458,47414,60461,52037,61231,131186,61626,82581,35120,17042,41142,47405,35974,62424,89457,88009,42900,13809,36265,11900,12036,26938,40179,50718,10932,11598,16764,38286,36614,45169,33686,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,39737,\N,\N,\N,\N,\N,\N,48305,39695,\N,48342,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
39737,\N,\N,\N,\N,134242,70712,133884,70516,39695,\N,48342,46214,28165,3922,13331,12896,72664,44403,11221,50444,37800,41692,49754,57808,59289,44199,35250,15825,39956,188589,68477,\N,24663,31280,61193,33076,5442,18175,87325,20045,5410,13399,13736,72740,50631,37792,41844,49605,59338,35419,39818,67943,164063,61095,5581,167784,87239,41746,33685,63669,69932,45062,61117,104901,25560,34060,56268,82750,53993,90670,54603,40660,55332,93546,218334,48291,30380,94920,85054,51083,55373,52576,42411,49962,45753,68359,34169,27094,65050,89889,45756,28053,54471,103999,101819,57656,59611,69644,66554
122313,228079,27963,54205,42245,95595,68481,41667,34113,64107,31658,31875,69990,45367,61222,104846,62874,12955,25265,14750,34215,56174,82781,7000,53987,90752,31449,50845,42163,60230,54006,54650,36896,40599,55582,5397,20243,93739,48188,155898,30347,57992,94765,50452,51170,54121,85136,51401,51266,42176,42393,55514,52759,42460,50150,45999,68103,34096,27423,\N,\N,126823,167869,65329,35872,90007,200336,\N,45286,10809,11203,28152,6983,191391,\N,54160,24251,101665,60005,63675,57894,59667,69766,66400,27965,54474,14677,10888,162991,42300,\N,\N,111636,95489,53830,57499,44638,44299,24617,31413
33191,31624,62921,36731,54460,42337,24539,63845,57621,48547,68325,48168,18194,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,23116,29627,44298,68844,74186,19116,9363,73840,44103,68540,19271,23563,53799,\N,48843,54733,59365,36525,37199,30632,159925,28216,34339,72664,37636,32473,40940,29211,17998,101450,114411,48530,\N,44017,22492,39130,43217,59755,23941,\N,44755,32173,30052,41896,94955,38351,\N,21685,28732,29391,110344,50983,22750,129094,\N,30610,23167,48600,118259,50444,30798,17306,58145,60131,91889,90937,93346,55175,18735,64997,49523,41084,34268,93865,30364,31039
36531,29705,43643,36023,25646,29900,56700,36699,42174,59974,23534,35728,69796,53314,22783,72264,63803,29680,14606,98488,18826,36758,\N,82086,18479,36677,23111,22840,20673,23532,22603,195097,26247,86982,27679,55041,30859,32561,14761,126806,140311,\N,46579,38393,48185,24621,59122,\N,12818,120854,15001,\N,20847,28005,16658,20429,55964,139591,85722,32672,\N,109732,45102,49741,37512,35638,25619,52837,55998,29312,50128,24263,68477,18805,23403,27941,42376,30875,22632,20034,115230,23050,28041,19323,11161,34220,14021,18161,17470,18115,28676,26619,11032,14797,111876,91064,68656,35121,28241,26104
51096,34507,42851,53714,23378,23779,72740,59338,86875,64810,164063,56268,54603,40660,55332,30380,94920,51083,52576,45753,68359,34169,27094,52462,91378,45756,57656,49934,122313,27963,61688,54205,95595,45900,11401,18690,76393,38025,27842,118296,14601,43352,109202,27642,46137,42800,68582,24984,32548,68368,54997,60464,75399,43466,119700,158355,\N,13743,30885,62601,63277,56174,24228,40574,40802,9394,76061,57340,54259,12252,14038,55512,49741,18232,90352,76373,81570,25258,41880,50348,59361,18192,24236,60727,96231,62409,11534,79661,51023,27962,18303,31045,87159,38570,48453,18907,36844,29227,32510,54650
94474,26004,51407,52083,14985,69708,61247,149665,64409,24292,37143,17917,38008,101439,68285,14607,126509,40599,76265,94237,15343,90652,92145,29260,16749,141460,120325,25365,17667,66094,61733,21705,30414,14216,121418,22792,114660,55582,81941,15586,105635,107129,20568,161862,28541,18096,34128,47108,48764,25369,44067,55172,17498,19885,18327,44127,58262,28799,30347,25990,70171,84842,66307,26950,29571,22756,46093,92310,61848,95672,93814,13632,66982,64799,22467,\N,58286,64452,30229,35909,69084,63597,46244,52725,27817,94765,50382,51312,60734,36831,\N,61231,42469,65318,81856,33384,40423,51615,109618,52489
66820,31742,60426,44851,\N,52711,69228,43937,39255,60280,49539,35603,25854,53132,29634,38360,50390,18659,42312,20037,177924,51266,18486,14581,42902,40864,59135,38295,36965,39798,90784,105455,44262,34313,\N,27052,61435,29249,54642,22309,48033,111057,41678,25123,102585,48326,110019,41594,91594,24686,\N,52608,44312,32819,68335,107779,63916,17015,108139,111524,112599,72933,106658,15839,62111,35531,91204,48390,32936,81678,42665,29240,43341,24795,54576,75433,74219,43274,57422,42650,181757,43014,52759,75435,92277,106948,29536,65454,17956,51920,95427,72353,103786,113016,19672,66130,59361,45999,22775,81541
22160,17915,103152,88801,29294,23875,25959,59116,26481,68103,68498,55484,43401,18056,88964,46149,33420,47809,51784,92578,34872,34096,127145,65895,29224,20307,110784,83986,22069,44673,70656,10987,34096,24129,57200,41485,26544,25295,83936,22510,52161,12164,32464,12683,40813,48271,29958,65329,110218,36196,99080,42256,90624,60539,70942,52078,41809,124496,22895,94436,45286,119739,60958,16775,39633,18095,71602,123750,19234,38681,19802,38334,14988,52549,24693,55711,21223,141766,67485,52576,156639,123915,28227,21655,28056,16374,31910,44184,147832,35072,29018,53522,98411,65920,32915,29367,55797,53611,68131,110735
139249,57894,76441,17897,85532,19303,33233,65196,109077,25924,50850,85783,114568,14962,49550,11596,65743,70311,60396,63989,54989,49467,49048,61071,22699,32462,44879,16827,145081,69766,61940,108009,103764,44425,77969,68607,44691,40746,129236,66400,111289,112782,155881,67309,28317,19400,25729,109414,21733,72853,125696,38425,40008,44602,42568,61293,30563,21861,41062,28190,40601,23622,54474,14478,114666,22317,19661,23083,76568,30896,17495,45198,23133,35121,42300,34776,27973,63057,24422,82124,96117,13653,16054,19883,29342,34997,26744,22411,48784,44529,48982,53752,68176,23191,67830,30953,49622,56102,53458,51041
24977,13544,51107,52037,64112,66843,61956,66043,34109,158844,110343,55867,70198,35120,61151,162207,\N,53436,34764,22739,27307,90739,44645,\N,\N,\N,\N,35261,63193,59308,54177,98279,94846,72182,68200,38509,37744,33859,28729,55788,97986,68570,82649,84087,60857,82568,97051,69027,89251,78020,95222,93279,63766,99609,66866,55987,48775,18463,85214,87267,64680,41322,40178,84990,99819,36355,66205,91178,86627,95130,64873,91547,85210,80080,68292,51777,82904,70747,104490,84287,66437,68032,50178,73526,74361,51871,58796,34348,73897,60592,44078,30258,29920,82907,79473,72617,68732,68394,45837,42876
42897,51930,47708,97396,93963,73630,76977,73092,72754,65163,60032,69269,51825,48246,30393,89657,80231,95207,94869,21226,54852,38842,36690,53577,81221,44179,78505,73733,85514,85176,95921,43761,62538,58653,58315,93614,83510,98826,26313,64005,60025,100131,99455,66571,66234,36403,31273,36363,35599,31714,26583,66429,49914,46713,\N,\N,\N,\N,\N,72613,68728,63598,56427,62774,48465,31951,68944,45332,94806,68285,18570,51788,70606,66292,34309,44074,79387,43078,42896,93861,73254,51589,80032,21129,54922,72878,83330,26475,60043,99195,50084,\N,62741,31993,71869,78664,43395,82034,75225,27262
47897,86650,106574,56797,87954,25365,94717,27258,71628,72823,22262,68642,68200,48273,\N,38663,34557,54416,49914,53426,48656,44771,44433,51084,71795,55212,50082,78564,43487,38421,85652,82219,65590,65252,87564,75407,27189,64246,47732,35294,43893,\N,39737,41330,50130,30203,40895,39756,67979,43967,81521,76872,71741,62937,37795,72468,51742,76577,62016,35643,72545,68439,48548,64839,69884,64303,65215,61724,62800,39150,64117,39974,85547,86995,65239,61354,59120,33978,84793,30250,68651,72761,65205,95214,85130,58200,66324,36384,31826,\N,68729,54029,44731,55058,65416,76357,61022,66068,42058,60486
61398,64335,68804,58983,39488,35333,60301,100078,106426,70828,73499,35931,34088,41059,66352,56933,91465,87903,69744,65859,65521,25473,41995,36865,86908,74508,95838,95161,64762,60877,60539,27250,53801,71998,28659,55549,79474,104554,51657,58758,73232,29780,68182,45726,47455,72291,59886,94744,84660,57730,98772,65854,31065,26507,46555,\N,63410,45057,49836,44261,50833,49739,64946,67796,43849,71038,39534,70338,65598,36739,60016,60928,57438,58513,34169,64086,34863,61421,54981,65202,71549,65355,61470,61132,72757,22137,92053,64562,68972,63221,59336,58868,39386,34256,64448,44197,39426,35541,35204,68506
61593,39421,64014,60129,54999,\N,\N,\N,\N,10293,\N,15626,7999,\N,\N,\N,\N,13512,\N,\N,\N,10439,\N,\N,15605,\N,12322,7992,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,134242,\N,\N,\N,133884,30027,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,30162,\N,\N,\N,\N,\N,\N,\N,17620,17610
\N,33681,39737,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,33550,\N,\N,\N,\N,44468,\N,44609,39695,\N,\N,\N,\N,\N,\N,\N,48342,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,20075,5789,22779,\N,14955,20081,24234,24157,\N,\N,\N,\N,\N,\N,\N,\N,\N,56087,\N,\N,\N,\N,\N,\N,81751,\N,26916,\N,\N,\N,\N,\N,70712,\N,\N,\N,70516,39695,48342,\N,\N,\N,\N
\N,19166,17620,19144,6162,6114,17262,17198,7866,12700,20018,19952,\N,\N,\N,\N,\N,20075,5789,\N,\N,14323,16516,12744,6838,\N,14955,20081,24234,14459,9964,8494,\N,16890,4826,7650,4580,14043,11023,14232,11226,7069,5714,24157,9834,\N,\N,48134,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,43481,72287,10076,31857,8355,55166,43384,72589,10019,31888,8214,54883,\N,49131,48843,12010,44767,54733,7953,35891,13809,59365,15416,\N,26948,64747,47655,36525,11304,37199,6913,29282,16670,45315,37136,13535,30632,73479
28398,4945,159925,24589,163646,22121,41684,28216,34339,72664,42009,11353,49424,37636,\N,\N,16944,73100,22545,26872,46297,44555,19587,\N,32473,40271,\N,35597,34863,99776,17262,19932,49761,\N,42987,18760,9017,15252,40940,49348,12614,35082,41013,50010,22437,29211,19814,17998,48134,101450,114411,21395,29818,48530,\N,27792,\N,\N,44017,22492,39443,39130,20193,100358,8365,60876,33681,43217,\N,42080,26168,17106,46130,59755,23941,67152,\N,20485,24688,44755,52775,39737,32173,30052,136019,31796,41896,94955,37686,38351,17078,57101,64259,21685,28732,24032,50840,29391,110344,50983
12426,37150,22750,139381,129094,37887,31840,127376,159079,\N,98933,129482,113284,25754,30610,\N,\N,52703,15251,23167,17126,41045,89408,11997,11713,17075,38379,49014,48600,11876,44788,55175,8046,35627,13843,\N,59974,\N,15360,26645,65003,47964,36758,11448,37512,6752,29336,16843,45226,37369,13676,30875,73172,28207,4732,24540,22132,41724,28241,34507,72740,\N,42021,11267,49586,\N,38025,\N,\N,55354,16744,73181,22573,27022,\N,46692,44531,19646,32548,40421,35544,35147,16973,19825,49723,\N,43066,18761,8938,15151,\N,\N,40802,49904,12785,\N,35469,\N,40856,49995
22478,29227,19982,17917,\N,48606,\N,\N,\N,\N,\N,\N,70712,68610,162147,\N,101439,\N,114660,\N,100305,98586,\N,21265,29620,48764,27778,44127,22467,39659,39255,20347,8272,61236,33550,43274,\N,42084,26255,17031,45961,\N,59361,100187,\N,63258,87002,103619,23875,54880,70516,98135,20835,24873,\N,44673,53004,\N,39695,32464,29958,\N,136173,32075,42256,94436,37848,38334,16854,26634,57664,21655,29018,23968,51199,29367,110735,50850,12633,37371,22699,\N,139266,\N,162274,\N,\N,129236,\N,44807,37826,31746,\N,127391,98808,36404,129638,113552,25727,30896
52842,15124,23191,17042,41142,89457,12036,11598,16764,38286,\N,\N,\N,\N,\N,178904,\N,\N,148571,\N,194337,\N,\N,\N,14821,16224,21901,179021,\N,14516,\N,\N,16070,21715,148691,\N,\N,195285,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,180452,\N,\N,\N,\N,\N,35082,39737,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,68582,\N,\N,\N,\N,\N,\N,35469,\N,\N,\N,\N,56521,\N
\N,\N,\N,18247,\N,\N,70712,\N,\N,\N,\N,\N,\N,68498,56224,18129,70516,\N,39695,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,15873,5660,16007,4240,4723,8954,7692,5520,8443,7412,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,9182,11757,9182,4543,11997,39737,\N,\N,\N,\N,\N,\N,39695,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,6696,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,7073,\N,\N
\N,\N,35082,39737,\N,\N,156851,\N,\N,35469,\N,\N,\N,\N,\N,48305,39695,48342,\N,\N,\N,\N,\N,19160,33774,63298,54836,34602,45142,64221,57998,42009,32473,19332,95315,78257,49561,53969,72677,55041,126806,59250,26344,25527,41746,63669,104901,53993,40660,45753,50529,45756,41979,95138,72705,129045,41667,61526,68547,62528,74740,84303,58566,49696,26916,61701,89406,49929,106390,77866,53897,69184,124243,59241,33926,189059,64107,62049,70186,68950,103625,118296,33744,60205,45486,67105,60881,63210,32548,\N,\N,\N,77836,\N,54997,\N,179449,104846,68553,69818
177728,73593,\N,130711,140543,61469,67001,\N,\N,10953,\N,221501,36451,71920,\N,81221,284291,\N,189458,189149,\N,243465,\N,\N,\N,\N,122804,13743,189458,73378,48021,53987,68572,74848,81400,50402,61750,58170,126509,40599,62480,103237,130723,74727,15343,85321,29260,90098,55512,130095,17667,75044,118221,140722,81737,15586,100305,105082,61122,52661,35765,84311,33353,67046,38350,44721,54457,58471,59737,10978,50456,52716,61838,\N,59232,45999,49841,61693,85516,100187,20405,26806,34519,49146,26306,25860,62032,45277,36490,48165,36041,38311,53434,52531,31677,89339,29224,110230,45211,53899
50680,49963,71856,57850,90197,104868,45029,61875,20577,53132,110470,68774,62551,81521,52825,106608,55706,60379,77926,130448,31843,45286,54061,64010,66637,68738,69543,17897,60354,72778,57835,59196,60461,13544,62563,129094,\N,\N,102373,97667,\N,116356,98586,\N,\N,\N,\N,98135,\N,129236,\N,116761,\N,135451,\N,\N,\N,13230,\N,\N,\N,48134,39737,\N,\N,\N,98586,98135,39695,\N,\N,\N,26737,34874,26480,17049,34193,15918,17155,15961,35059,34311,30670,27197,30206,28476,52632,\N,\N,\N,\N,\N,\N,\N,7048,6959,\N,42009,39737,42021
\N,26916,\N,\N,\N,\N,148913,\N,148867,\N,\N,\N,\N,26806,48305,39695,48342,41013,39737,\N,\N,\N,\N,\N,134242,70712,\N,45707,148324,133884,70516,39695,\N,45799,48342,\N,147908,31471,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,105082,\N,\N,19400,48134,\N,48606,\N,\N,\N,\N,\N,\N,\N,\N,74171,30626,59593,129045,49696,65910,30454,39891,85321,100305,81856,22309,74004,177755,59596,49841,65904,39819,85516,100187,81541,22160,88801,99326,\N
88440,102512,87002,103619,88263,98883,88756,102617,86927,103014,222503,\N,\N,21987,24222,21961,23760,50424,\N,\N,18247,\N,\N,18129,\N,\N,\N,\N,\N,\N,\N,\N,\N,85655,77583,103611,96396,76822,175589,68830,40538,23116,45575,42587,69193,57271,5065,18574,18551,84183,45142,13966,3922,25780,9363,21924,44757,13331,12896,23563,30561,190729,213182,149821,8926,3387,12825,47762,37136,72664,46297,\N,35082,41013,48530,39737,129094,50424,9575,71573,118259,50444,91307,79033,9141,73599,60479,92656,37820,38282,21542,50177,18523,26159,12296,4196,55524,86987,7400,15426
