,SRC_AIRPT_ID,SRCNAME,DESTIN_AIRPT_ID,DESTINNAME,seconds,meters,SRCIATA,DESTINIATA
5636,4016,Roanoke–Blacksburg Regional Airport,4167,Orlando Sanford International Airport,36865,1135842,ROA,SFB
5637,4048,Rochester International Airport,6505,Phoenix-Mesa-Gateway Airport,86908,2562895,RST,AZA
5638,3731,San Diego International Airport,3777,Bellingham International Airport,74508,2170610,SAN,BLI
5639,4359,South Bend Regional Airport,6505,Phoenix-Mesa-Gateway Airport,95838,2905497,SBN,AZA
5640,4359,South Bend Regional Airport,3877,McCarran International Airport,95161,2946743,SBN,LAS
5641,4359,South Bend Regional Airport,7056,Charlotte County Airport,64762,1988160,SBN,PGD
5642,4359,South Bend Regional Airport,3617,St Petersburg Clearwater International Airport,60877,1860419,SBN,PIE
5643,4359,South Bend Regional Airport,4167,Orlando Sanford International Airport,60539,1844284,SBN,SFB
5644,3805,Stockton Metropolitan Airport,3877,McCarran International Airport,27250,817184,SCK,LAS
5645,4167,Orlando Sanford International Airport,4355,Lehigh Valley International Airport,53801,1649820,SFB,ABE
5646,4167,Orlando Sanford International Airport,4047,Appleton International Airport,71998,2219588,SFB,ATW
5647,4167,Orlando Sanford International Airport,4007,Asheville Regional Airport,28659,895340,SFB,AVL
5648,4167,Orlando Sanford International Airport,4286,Wilkes Barre Scranton International Airport,55549,1705327,SFB,AVP
5649,4167,Orlando Sanford International Airport,3463,Bangor International Airport,79474,2415013,SFB,BGR
5650,4167,Orlando Sanford International Airport,4083,Bismarck Municipal Airport,104554,3253615,SFB,BIS
5651,4167,Orlando Sanford International Airport,3790,Scott AFB/Midamerica Airport,51657,1602076,SFB,BLV
5652,4167,Orlando Sanford International Airport,4037,Central Illinois Regional Airport at Bloomington-Normal,58758,1819654,SFB,BMI
5653,4167,Orlando Sanford International Airport,3711,Burlington International Airport,73232,2169668,SFB,BTV
5654,4167,Orlando Sanford International Airport,3578,Lovell Field,29780,930835,SFB,CHA
5655,4167,Orlando Sanford International Airport,4043,The Eastern Iowa Airport,68182,2087515,SFB,CID
5656,4167,Orlando Sanford International Airport,5730,North Central West Virginia Airport,45726,1375211,SFB,CKB
5657,4167,Orlando Sanford International Airport,3488,Cincinnati Northern Kentucky International Airport,47455,1482812,SFB,CVG
5658,4167,Orlando Sanford International Airport,3729,Des Moines International Airport,72291,2184331,SFB,DSM
5659,4167,Orlando Sanford International Airport,3946,Elmira Corning Regional Airport,59886,1825349,SFB,ELM
5660,4167,Orlando Sanford International Airport,4292,Hector International Airport,94744,2949990,SFB,FAR
5661,4167,Orlando Sanford International Airport,4009,Joe Foss Field Airport,84660,2622301,SFB,FSD
5662,4167,Orlando Sanford International Airport,4041,Fort Wayne International Airport,57730,1789217,SFB,FWA
5663,4167,Orlando Sanford International Airport,3442,Grand Forks International Airport,98772,3074960,SFB,GFK
5664,4167,Orlando Sanford International Airport,3685,Gerald R. Ford International Airport,65854,2025661,SFB,GRR
5665,4167,Orlando Sanford International Airport,4008,Piedmont Triad International Airport,31065,956618,SFB,GSO
5666,4167,Orlando Sanford International Airport,4034,Greenville Spartanburg International Airport,26507,830711,SFB,GSP
5667,4167,Orlando Sanford International Airport,6739,Hagerstown Regional Richard A Henson Field,46555,1443311,SFB,HGR
5668,4167,Orlando Sanford International Airport,3630,Niagara Falls International Airport,63410,1915110,SFB,IAG
5669,4167,Orlando Sanford International Airport,3544,Capital City Airport,45057,1403550,SFB,LAN
5670,4167,Orlando Sanford International Airport,3674,Rickenbacker International Airport,49836,1491671,SFB,LCK
5671,4167,Orlando Sanford International Airport,4017,Blue Grass Airport,44261,1373150,SFB,LEX
5672,4167,Orlando Sanford International Airport,3660,Bill & Hillary Clinton National Airport/Adams Field,50833,1575620,SFB,LIT
5673,4167,Orlando Sanford International Airport,3542,Harrisburg International Airport,49739,1535161,SFB,MDT
5674,4167,Orlando Sanford International Airport,4072,Quad City International Airport,64946,2002186,SFB,MLI
5675,4167,Orlando Sanford International Airport,3863,Will Rogers World Airport,67796,2118690,SFB,OKC
5676,4167,Orlando Sanford International Airport,5758,Owensboro Daviess County Airport,43849,1361408,SFB,OWB
5677,4167,Orlando Sanford International Airport,3771,Plattsburgh International Airport,71038,2180171,SFB,PBG
5678,4167,Orlando Sanford International Airport,3633,Newport News Williamsburg International Airport,39534,1224945,SFB,PHF
5679,4167,Orlando Sanford International Airport,5763,Portsmouth International at Pease Airport,70338,2129289,SFB,PSM
5680,4167,Orlando Sanford International Airport,4028,Chicago Rockford International Airport,65598,2032702,SFB,RFD
5681,4167,Orlando Sanford International Airport,4016,Roanoke–Blacksburg Regional Airport,36739,1133386,SFB,ROA
5682,4167,Orlando Sanford International Airport,4359,South Bend Regional Airport,60016,1844224,SFB,SBN
5683,4167,Orlando Sanford International Airport,4348,Springfield Branson National Airport,60928,1830844,SFB,SGF
5684,4167,Orlando Sanford International Airport,4336,Abraham Lincoln Capital Airport,57438,1757168,SFB,SPI
5685,4167,Orlando Sanford International Airport,4040,Toledo Express Airport,58513,1821277,SFB,TOL
5686,4167,Orlando Sanford International Airport,4116,Tri-Cities Regional TN/VA Airport,34169,1037716,SFB,TRI
5687,4167,Orlando Sanford International Airport,3855,Tulsa International Airport,64086,2002709,SFB,TUL
5688,4167,Orlando Sanford International Airport,3676,McGhee Tyson Airport,34863,1091571,SFB,TYS
5689,4167,Orlando Sanford International Airport,4356,Northwest Arkansas Regional Airport,61421,1906030,SFB,XNA
5690,4167,Orlando Sanford International Airport,3881,Youngstown Warren Regional Airport,54981,1659508,SFB,YNG
5691,4348,Springfield Branson National Airport,6505,Phoenix-Mesa-Gateway Airport,65202,1981618,SGF,AZA
5692,4348,Springfield Branson National Airport,3877,McCarran International Airport,71549,2243854,SGF,LAS
5693,4348,Springfield Branson National Airport,7056,Charlotte County Airport,65355,1973393,SGF,PGD
5694,4348,Springfield Branson National Airport,3617,St Petersburg Clearwater International Airport,61470,1845653,SGF,PIE
5695,4348,Springfield Branson National Airport,4167,Orlando Sanford International Airport,61132,1829518,SGF,SFB
5696,3609,Shreveport Regional Airport,3877,McCarran International Airport,72757,2247811,SHV,LAS
5697,5772,Santa Maria Pub/Capt G Allan Hancock Field,3877,McCarran International Airport,22137,622500,SMX,LAS
5698,4271,St Cloud Regional Airport,6505,Phoenix-Mesa-Gateway Airport,92053,2621864,STC,AZA
5699,3661,Stewart International Airport,3617,St Petersburg Clearwater International Airport,64562,1942298,SWF,PIE
5700,3745,Syracuse Hancock International Airport,3617,St Petersburg Clearwater International Airport,68972,2079249,SYR,PIE
5701,4040,Toledo Express Airport,7056,Charlotte County Airport,63221,1960237,TOL,PGD
5702,4040,Toledo Express Airport,3617,St Petersburg Clearwater International Airport,59336,1832496,TOL,PIE
5703,4040,Toledo Express Airport,4167,Orlando Sanford International Airport,58868,1737744,TOL,SFB
5704,4116,Tri-Cities Regional TN/VA Airport,3617,St Petersburg Clearwater International Airport,39386,1174878,TRI,PIE
5705,4116,Tri-Cities Regional TN/VA Airport,4167,Orlando Sanford International Airport,34256,1039458,TRI,SFB
5706,3855,Tulsa International Airport,4167,Orlando Sanford International Airport,64448,2002152,TUL,SFB
5707,3676,McGhee Tyson Airport,3533,Fort Lauderdale Hollywood International Airport,44197,1385549,TYS,FLL
5708,3676,McGhee Tyson Airport,7056,Charlotte County Airport,39426,1235611,TYS,PGD
5709,3676,McGhee Tyson Airport,3617,St Petersburg Clearwater International Airport,35541,1107870,TYS,PIE
5710,3676,McGhee Tyson Airport,4167,Orlando Sanford International Airport,35204,1091735,TYS,SFB
5711,4356,Northwest Arkansas Regional Airport,3877,McCarran International Airport,68506,2128131,XNA,LAS
5712,4356,Northwest Arkansas Regional Airport,4167,Orlando Sanford International Airport,61593,1904239,XNA,SFB
5713,3881,Youngstown Warren Regional Airport,3515,Myrtle Beach International Airport,39421,1117349,YNG,MYR
5714,3881,Youngstown Warren Regional Airport,7056,Charlotte County Airport,64014,1937742,YNG,PGD
5715,3881,Youngstown Warren Regional Airport,3617,St Petersburg Clearwater International Airport,60129,1810002,YNG,PIE
5716,3881,Youngstown Warren Regional Airport,4167,Orlando Sanford International Airport,54999,1674582,YNG,SFB
5717,3774,Ted Stevens Anchorage International Airport,3628,Kenai Municipal Airport,10293,252041,ANC,ENA
5718,3854,Cold Bay Airport,7202,False Pass Airport,15626,100369,CDB,KFP
5719,3854,Cold Bay Airport,6765,King Cove Airport,7999,51035,CDB,KVC
5720,3860,Unalaska Airport,6134,Akutan Seaplane Base,13512,85395,DUT,KQA
5721,3628,Kenai Municipal Airport,3774,Ted Stevens Anchorage International Airport,10439,253090,ENA,ANC
5722,7202,False Pass Airport,3854,Cold Bay Airport,15605,100369,KFP,CDB
5723,6134,Akutan Seaplane Base,3860,Unalaska Airport,12322,85395,KQA,DUT
5724,6765,King Cove Airport,3854,Cold Bay Airport,7992,51035,KVC,CDB
5730,3808,Ketchikan International Airport,7205,Klawock Airport,17610,111400,KTN,KLW
5740,3492,Juneau International Airport,7135,Angoon Seaplane Base,22779,154903,JNU,AGN
5745,3576,Miami International Airport,3849,Baltimore/Washington International Thurgood Marshall Airport,56087,1755741,MIA,BWI
5746,3448,General Edward Lawrence Logan International Airport,3861,Louis Armstrong New Orleans International Airport,81751,2473123,BOS,MSY
5752,7148,Hydaburg Seaplane Base,3808,Ketchikan International Airport,19166,122535,HYG,KTN
5753,7205,Klawock Airport,3808,Ketchikan International Airport,17620,111402,KLW,KTN
5754,3808,Ketchikan International Airport,7148,Hydaburg Seaplane Base,19144,122533,KTN,HYG
5757,5716,Athens Ben Epps Airport,3690,Nashville International Airport,17262,495319,AHN,BNA
5758,3690,Nashville International Airport,5716,Athens Ben Epps Airport,17198,497365,BNA,AHN
5759,3690,Nashville International Airport,3704,McKellar-Sipes Regional Airport,7866,231163,BNA,MKL
5760,3644,Bob Hope Airport,3689,Imperial County Airport,12700,358814,BUR,IPL
5761,3502,Dallas Love Field,3696,South Arkansas Regional At Goodwin Field,20018,595552,DAL,ELD
5762,3696,South Arkansas Regional At Goodwin Field,3502,Dallas Love Field,19952,594730,ELD,DAL
5763,5963,Haines Airport,3492,Juneau International Airport,20075,141520,HNS,JNU
5764,5963,Haines Airport,5961,Skagway Airport,5789,37469,HNS,SGY
5765,3461,Boone County Airport,3458,Kansas City International Airport,14323,415417,HRO,MCI
5766,3461,Boone County Airport,3473,Memphis International Airport,16516,390211,HRO,MEM
5767,3689,Imperial County Airport,3644,Bob Hope Airport,12744,353385,IPL,BUR
5768,3689,Imperial County Airport,3731,San Diego International Airport,6838,190217,IPL,SAN
5769,3492,Juneau International Airport,7142,Hoonah Airport,14955,100028,JNU,HNH
5770,3492,Juneau International Airport,5963,Haines Airport,20081,141170,JNU,HNS
5771,3492,Juneau International Airport,5961,Skagway Airport,24234,154715,JNU,SGY
5772,3458,Kansas City International Airport,3461,Boone County Airport,14459,416721,MCI,HRO
5773,3458,Kansas City International Airport,5771,Salina Municipal Airport,9964,308852,MCI,SLN
5774,3473,Memphis International Airport,3696,South Arkansas Regional At Goodwin Field,8494,200785,MEM,ELD
5775,3473,Memphis International Airport,3461,Boone County Airport,16890,393133,MEM,HRO
5776,3473,Memphis International Airport,3704,McKellar-Sipes Regional Airport,4826,133324,MEM,MKL
5777,3704,McKellar-Sipes Regional Airport,3690,Nashville International Airport,7650,228794,MKL,BNA
5778,3704,McKellar-Sipes Regional Airport,3473,Memphis International Airport,4580,133309,MKL,MEM
5779,5757,Southwest Oregon Regional Airport,3720,Portland International Airport,14043,372081,OTH,PDX
5780,6883,Eastern Oregon Regional At Pendleton Airport,3720,Portland International Airport,11023,326744,PDT,PDX
5781,3720,Portland International Airport,5757,Southwest Oregon Regional Airport,14232,373393,PDX,OTH
5782,3720,Portland International Airport,6883,Eastern Oregon Regional At Pendleton Airport,11226,328207,PDX,PDT
5783,3731,San Diego International Airport,3689,Imperial County Airport,7069,192256,SAN,IPL
5784,5961,Skagway Airport,5963,Haines Airport,5714,37038,SGY,HNS
5785,5961,Skagway Airport,3492,Juneau International Airport,24157,154634,SGY,JNU
5786,5771,Salina Municipal Airport,3458,Kansas City International Airport,9834,308429,SLN,MCI
5788,4355,Lehigh Valley International Airport,3682,Hartsfield Jackson Atlanta International Airport,43481,1293314,ABE,ATL
5790,5715,Southwest Georgia Regional Airport,3682,Hartsfield Jackson Atlanta International Airport,10076,288482,ABY,ATL
5791,3852,Alexandria International Airport,3682,Hartsfield Jackson Atlanta International Airport,31857,933717,AEX,ATL
5792,3658,Augusta Regional At Bush Field,3682,Hartsfield Jackson Atlanta International Airport,8355,248853,AGS,ATL
5793,3864,Albany International Airport,3682,Hartsfield Jackson Atlanta International Airport,55166,1642560,ALB,ATL
5794,3682,Hartsfield Jackson Atlanta International Airport,4355,Lehigh Valley International Airport,43384,1296163,ATL,ABE
5796,3682,Hartsfield Jackson Atlanta International Airport,5715,Southwest Georgia Regional Airport,10019,290243,ATL,ABY
5797,3682,Hartsfield Jackson Atlanta International Airport,3852,Alexandria International Airport,31888,917120,ATL,AEX
5798,3682,Hartsfield Jackson Atlanta International Airport,3658,Augusta Regional At Bush Field,8214,249634,ATL,AGS
5799,3682,Hartsfield Jackson Atlanta International Airport,3864,Albany International Airport,54883,1644932,ATL,ALB
5800,3682,Hartsfield Jackson Atlanta International Airport,4047,Appleton International Airport,49131,1489374,ATL,ATW
5802,3682,Hartsfield Jackson Atlanta International Airport,4007,Asheville Regional Airport,12010,326753,ATL,AVL
5803,3682,Hartsfield Jackson Atlanta International Airport,4286,Wilkes Barre Scranton International Airport,44767,1340568,ATL,AVP
5806,3682,Hartsfield Jackson Atlanta International Airport,4037,Central Illinois Regional Airport at Bloomington-Normal,35891,1089439,ATL,BMI
5809,3682,Hartsfield Jackson Atlanta International Airport,5725,Brunswick Golden Isles Airport,15416,476297,ATL,BQK
5810,3682,Hartsfield Jackson Atlanta International Airport,3846,Baton Rouge Metropolitan Airport,26948,834219,ATL,BTR
5811,3682,Hartsfield Jackson Atlanta International Airport,3711,Burlington International Airport,64747,1872099,ATL,BTV
5812,3682,Hartsfield Jackson Atlanta International Airport,3820,Buffalo Niagara International Airport,47655,1460117,ATL,BUF
5814,3682,Hartsfield Jackson Atlanta International Airport,3561,Columbia Metropolitan Airport,11304,339258,ATL,CAE
5816,3682,Hartsfield Jackson Atlanta International Airport,3578,Lovell Field,6913,200621,ATL,CHA
5817,3682,Hartsfield Jackson Atlanta International Airport,4015,Charlottesville Albemarle Airport,29282,845935,ATL,CHO
5819,3682,Hartsfield Jackson Atlanta International Airport,4043,The Eastern Iowa Airport,45315,1357300,ATL,CID
5823,3682,Hartsfield Jackson Atlanta International Airport,3819,City of Colorado Springs Municipal Airport,73479,2245964,ATL,COS
5824,3682,Hartsfield Jackson Atlanta International Airport,4285,Yeager Airport,28398,824263,ATL,CRW
5825,3682,Hartsfield Jackson Atlanta International Airport,4255,Columbus Metropolitan Airport,4945,150759,ATL,CSG
5829,3682,Hartsfield Jackson Atlanta International Airport,3950,Daytona Beach International Airport,22121,691478,ATL,DAB
5835,3682,Hartsfield Jackson Atlanta International Airport,3739,Dothan Regional Airport,11353,314658,ATL,DHN
5836,3682,Hartsfield Jackson Atlanta International Airport,3729,Des Moines International Airport,49424,1454117,ATL,DSM
5838,3682,Hartsfield Jackson Atlanta International Airport,7669,Northwest Florida Beaches International Airport,16944,444840,ATL,ECP
5839,3682,Hartsfield Jackson Atlanta International Airport,3559,El Paso International Airport,73100,2281101,ATL,ELP
5840,3682,Hartsfield Jackson Atlanta International Airport,4018,Evansville Regional Airport,22545,665372,ATL,EVV
5841,3682,Hartsfield Jackson Atlanta International Airport,3730,Coastal Carolina Regional Airport,26872,816840,ATL,EWN
5843,3682,Hartsfield Jackson Atlanta International Airport,3875,Key West International Airport,44555,1308396,ATL,EYW
5844,3682,Hartsfield Jackson Atlanta International Airport,5738,Fayetteville Regional Grannis Field,19587,602068,ATL,FAY
5846,3682,Hartsfield Jackson Atlanta International Airport,4089,Bishop International Airport,40271,1239420,ATL,FNT
5847,3682,Hartsfield Jackson Atlanta International Airport,3437,Fort Smith Regional Airport,35597,1088130,ATL,FSM
5848,3682,Hartsfield Jackson Atlanta International Airport,4041,Fort Wayne International Airport,34863,1059003,ATL,FWA
5850,3682,Hartsfield Jackson Atlanta International Airport,3472,Gainesville Regional Airport,17262,524024,ATL,GNV
5851,3682,Hartsfield Jackson Atlanta International Airport,4038,Gulfport Biloxi International Airport,19932,625391,ATL,GPT
5852,3682,Hartsfield Jackson Atlanta International Airport,3653,Austin Straubel International Airport,49761,1511880,ATL,GRB
5853,3682,Hartsfield Jackson Atlanta International Airport,3685,Gerald R. Ford International Airport,42987,1295446,ATL,GRR
5854,3682,Hartsfield Jackson Atlanta International Airport,4008,Piedmont Triad International Airport,18760,561341,ATL,GSO
5855,3682,Hartsfield Jackson Atlanta International Airport,4034,Greenville Spartanburg International Airport,9017,265246,ATL,GSP
5856,3682,Hartsfield Jackson Atlanta International Airport,4273,Golden Triangle Regional Airport,15252,449980,ATL,GTR
5858,3682,Hartsfield Jackson Atlanta International Airport,3589,Westchester County Airport,49348,1459705,ATL,HPN
5859,3682,Hartsfield Jackson Atlanta International Airport,4113,Huntsville International Carl T Jones Field,12614,389179,ATL,HSV
5862,3682,Hartsfield Jackson Atlanta International Airport,3457,Wichita Eisenhower National Airport,50010,1556091,ATL,ICT
5863,3682,Hartsfield Jackson Atlanta International Airport,3845,Wilmington International Airport,22437,681428,ATL,ILM
5865,3682,Hartsfield Jackson Atlanta International Airport,3580,Jackson-Medgar Wiley Evers International Airport,19814,612428,ATL,JAN
5870,3682,Hartsfield Jackson Atlanta International Airport,4017,Blue Grass Airport,21395,642936,ATL,LEX
5871,3682,Hartsfield Jackson Atlanta International Airport,3493,Lafayette Regional Airport,29818,922628,ATL,LFT
5873,3682,Hartsfield Jackson Atlanta International Airport,3660,Bill & Hillary Clinton National Airport/Adams Field,27792,841195,ATL,LIT
5876,3682,Hartsfield Jackson Atlanta International Airport,3542,Harrisburg International Airport,39443,1179857,ATL,MDT
5880,3682,Hartsfield Jackson Atlanta International Airport,4115,Montgomery Regional (Dannelly Field) Airport,8365,256320,ATL,MGM
5881,3682,Hartsfield Jackson Atlanta International Airport,4011,Manchester-Boston Regional Airport,60876,1795124,ATL,MHT
5884,3682,Hartsfield Jackson Atlanta International Airport,4072,Quad City International Airport,42080,1271971,ATL,MLI
5885,3682,Hartsfield Jackson Atlanta International Airport,3732,Monroe Regional Airport,26168,807717,ATL,MLU
5886,3682,Hartsfield Jackson Atlanta International Airport,3782,Mobile Regional Airport,17106,525621,ATL,MOB
5887,3682,Hartsfield Jackson Atlanta International Airport,3459,Dane County Regional Truax Field,46130,1416697,ATL,MSN
5891,3682,Hartsfield Jackson Atlanta International Airport,3515,Myrtle Beach International Airport,20485,588246,ATL,MYR
5892,3682,Hartsfield Jackson Atlanta International Airport,4386,Albert J Ellis Airport,24688,706211,ATL,OAJ
5894,3682,Hartsfield Jackson Atlanta International Airport,3454,Eppley Airfield,52775,1603825,ATL,OMA
5898,3682,Hartsfield Jackson Atlanta International Airport,3720,Portland International Airport,136019,4190346,ATL,PDX
5899,3682,Hartsfield Jackson Atlanta International Airport,3633,Newport News Williamsburg International Airport,31796,965233,ATL,PHF
5902,3682,Hartsfield Jackson Atlanta International Airport,4046,General Wayne A. Downing Peoria International Airport,37686,1134717,ATL,PIA
5905,3682,Hartsfield Jackson Atlanta International Airport,3641,Theodore Francis Green State Airport,57101,1684047,ATL,PVD
5906,3682,Hartsfield Jackson Atlanta International Airport,3862,Portland International Jetport Airport,64259,1901981,ATL,PWM
5909,3682,Hartsfield Jackson Atlanta International Airport,4016,Roanoke–Blacksburg Regional Airport,24032,709444,ATL,ROA
5910,3682,Hartsfield Jackson Atlanta International Airport,3622,Greater Rochester International Airport,50840,1555948,ATL,ROC
5915,3682,Hartsfield Jackson Atlanta International Airport,4359,South Bend Regional Airport,37150,1114010,ATL,SBN
5917,3682,Hartsfield Jackson Atlanta International Airport,3577,Seattle Tacoma International Airport,139381,4265691,ATL,SEA
5919,3682,Hartsfield Jackson Atlanta International Airport,4348,Springfield Branson National Airport,37887,1096419,ATL,SGF
5920,3682,Hartsfield Jackson Atlanta International Airport,3609,Shreveport Regional Airport,31840,978772,ATL,SHV
5923,3682,Hartsfield Jackson Atlanta International Airport,3536,Salt Lake City International Airport,98933,3041656,ATL,SLC
5925,3682,Hartsfield Jackson Atlanta International Airport,3867,John Wayne Airport-Orange County Airport,113284,3511984,ATL,SNA
5928,3682,Hartsfield Jackson Atlanta International Airport,3745,Syracuse Hancock International Airport,52703,1574621,ATL,SYR
5929,3682,Hartsfield Jackson Atlanta International Airport,3698,Tallahassee Regional Airport,15251,426060,ATL,TLH
5931,3682,Hartsfield Jackson Atlanta International Airport,4116,Tri-Cities Regional TN/VA Airport,17126,517029,ATL,TRI
5934,3682,Hartsfield Jackson Atlanta International Airport,3676,McGhee Tyson Airport,11997,361356,ATL,TYS
5935,3682,Hartsfield Jackson Atlanta International Airport,5776,Valdosta Regional Airport,11713,361467,ATL,VLD
5936,3682,Hartsfield Jackson Atlanta International Airport,3873,Destin-Ft Walton Beach Airport,17075,495407,ATL,VPS
5937,3682,Hartsfield Jackson Atlanta International Airport,4356,Northwest Arkansas Regional Airport,38379,1171604,ATL,XNA
5938,4047,Appleton International Airport,3682,Hartsfield Jackson Atlanta International Airport,49014,1484435,ATW,ATL
5940,4007,Asheville Regional Airport,3682,Hartsfield Jackson Atlanta International Airport,11876,324173,AVL,ATL
5941,4286,Wilkes Barre Scranton International Airport,3682,Hartsfield Jackson Atlanta International Airport,44788,1338457,AVP,ATL
5944,4037,Central Illinois Regional Airport at Bloomington-Normal,3682,Hartsfield Jackson Atlanta International Airport,35627,1081671,BMI,ATL
5947,5725,Brunswick Golden Isles Airport,3682,Hartsfield Jackson Atlanta International Airport,15360,476021,BQK,ATL
5948,3846,Baton Rouge Metropolitan Airport,3682,Hartsfield Jackson Atlanta International Airport,26645,841274,BTR,ATL
5949,3711,Burlington International Airport,3682,Hartsfield Jackson Atlanta International Airport,65003,1869314,BTV,ATL
5950,3820,Buffalo Niagara International Airport,3682,Hartsfield Jackson Atlanta International Airport,47964,1458781,BUF,ATL
5952,3561,Columbia Metropolitan Airport,3682,Hartsfield Jackson Atlanta International Airport,11448,338045,CAE,ATL
5954,3578,Lovell Field,3682,Hartsfield Jackson Atlanta International Airport,6752,197288,CHA,ATL
5955,4015,Charlottesville Albemarle Airport,3682,Hartsfield Jackson Atlanta International Airport,29336,843907,CHO,ATL
5957,4043,The Eastern Iowa Airport,3682,Hartsfield Jackson Atlanta International Airport,45226,1350789,CID,ATL
5961,3819,City of Colorado Springs Municipal Airport,3682,Hartsfield Jackson Atlanta International Airport,73172,2242639,COS,ATL
5962,4285,Yeager Airport,3682,Hartsfield Jackson Atlanta International Airport,28207,819495,CRW,ATL
5963,4255,Columbus Metropolitan Airport,3682,Hartsfield Jackson Atlanta International Airport,4732,149061,CSG,ATL
5965,3950,Daytona Beach International Airport,3682,Hartsfield Jackson Atlanta International Airport,22132,691546,DAB,ATL
5966,3502,Dallas Love Field,3682,Hartsfield Jackson Atlanta International Airport,41724,1278553,DAL,ATL
5971,3739,Dothan Regional Airport,3682,Hartsfield Jackson Atlanta International Airport,11267,314469,DHN,ATL
5972,3729,Des Moines International Airport,3682,Hartsfield Jackson Atlanta International Airport,49586,1464527,DSM,ATL
5974,3645,Detroit Metropolitan Wayne County Airport,3861,Louis Armstrong New Orleans International Airport,55354,1712058,DTW,MSY
5975,7669,Northwest Florida Beaches International Airport,3682,Hartsfield Jackson Atlanta International Airport,16744,448094,ECP,ATL
5976,3559,El Paso International Airport,3682,Hartsfield Jackson Atlanta International Airport,73181,2280700,ELP,ATL
5977,4018,Evansville Regional Airport,3682,Hartsfield Jackson Atlanta International Airport,22573,661333,EVV,ATL
5978,3730,Coastal Carolina Regional Airport,3682,Hartsfield Jackson Atlanta International Airport,27022,814761,EWN,ATL
5980,3875,Key West International Airport,3682,Hartsfield Jackson Atlanta International Airport,44531,1308107,EYW,ATL
5981,5738,Fayetteville Regional Grannis Field,3682,Hartsfield Jackson Atlanta International Airport,19646,600090,FAY,ATL
5983,4089,Bishop International Airport,3682,Hartsfield Jackson Atlanta International Airport,40421,1235795,FNT,ATL
5984,3437,Fort Smith Regional Airport,3682,Hartsfield Jackson Atlanta International Airport,35544,1086722,FSM,ATL
5985,4041,Fort Wayne International Airport,3682,Hartsfield Jackson Atlanta International Airport,35147,1057188,FWA,ATL
5986,3472,Gainesville Regional Airport,3682,Hartsfield Jackson Atlanta International Airport,16973,523298,GNV,ATL
5987,4038,Gulfport Biloxi International Airport,3682,Hartsfield Jackson Atlanta International Airport,19825,624299,GPT,ATL
5988,3653,Austin Straubel International Airport,3682,Hartsfield Jackson Atlanta International Airport,49723,1506903,GRB,ATL
5989,3685,Gerald R. Ford International Airport,3682,Hartsfield Jackson Atlanta International Airport,43066,1291918,GRR,ATL
5990,4008,Piedmont Triad International Airport,3682,Hartsfield Jackson Atlanta International Airport,18761,557059,GSO,ATL
5991,4034,Greenville Spartanburg International Airport,3682,Hartsfield Jackson Atlanta International Airport,8938,262646,GSP,ATL
5992,4273,Golden Triangle Regional Airport,3682,Hartsfield Jackson Atlanta International Airport,15151,449193,GTR,ATL
5994,3589,Westchester County Airport,3682,Hartsfield Jackson Atlanta International Airport,49904,1464281,HPN,ATL
5995,4113,Huntsville International Carl T Jones Field,3682,Hartsfield Jackson Atlanta International Airport,12785,322900,HSV,ATL
5998,3457,Wichita Eisenhower National Airport,3682,Hartsfield Jackson Atlanta International Airport,49995,1556129,ICT,ATL
5999,3845,Wilmington International Airport,3682,Hartsfield Jackson Atlanta International Airport,22478,678968,ILM,ATL
6001,3580,Jackson-Medgar Wiley Evers International Airport,3682,Hartsfield Jackson Atlanta International Airport,19982,615133,JAN,ATL
6005,3492,Juneau International Airport,3808,Ketchikan International Airport,68610,462978,JNU,KTN
6006,3808,Ketchikan International Airport,3577,Seattle Tacoma International Airport,162147,1229091,KTN,SEA
6011,4017,Blue Grass Airport,3682,Hartsfield Jackson Atlanta International Airport,21265,635019,LEX,ATL
6012,3493,Lafayette Regional Airport,3682,Hartsfield Jackson Atlanta International Airport,29620,918630,LFT,ATL
6014,3660,Bill & Hillary Clinton National Airport/Adams Field,3682,Hartsfield Jackson Atlanta International Airport,27778,840395,LIT,ATL
6017,3542,Harrisburg International Airport,3682,Hartsfield Jackson Atlanta International Airport,39659,1178371,MDT,ATL
6020,4115,Montgomery Regional (Dannelly Field) Airport,3682,Hartsfield Jackson Atlanta International Airport,8272,255314,MGM,ATL
6021,4011,Manchester-Boston Regional Airport,3682,Hartsfield Jackson Atlanta International Airport,61236,1798295,MHT,ATL
6024,4072,Quad City International Airport,3682,Hartsfield Jackson Atlanta International Airport,42084,1266371,MLI,ATL
6025,3732,Monroe Regional Airport,3682,Hartsfield Jackson Atlanta International Airport,26255,808015,MLU,ATL
6026,3782,Mobile Regional Airport,3682,Hartsfield Jackson Atlanta International Airport,17031,524454,MOB,ATL
6027,3459,Dane County Regional Truax Field,3682,Hartsfield Jackson Atlanta International Airport,45961,1408712,MSN,ATL
6030,3858,Minneapolis-St Paul International/Wold-Chamberlain Airport,3861,Louis Armstrong New Orleans International Airport,63258,1894346,MSP,MSY
6034,3861,Louis Armstrong New Orleans International Airport,3645,Detroit Metropolitan Wayne County Airport,54880,1705708,MSY,DTW
6037,3515,Myrtle Beach International Airport,3682,Hartsfield Jackson Atlanta International Airport,20835,589414,MYR,ATL
